Véhicule,Norme EURO,Mois,KM parcourus,Émissions CO2 (kg)
HYUNDAI MEX  31978-A-11,EURO 4,10,0,
HYUNDAI MEX  31978-A-11,EURO 4,11,0,
HYUNDAI MEX  31978-A-11,EURO 4,12,0,
HYUNDAI MEX  32326-A-11,EURO 4,1,8230,1999.89
HYUNDAI MEX  32326-A-11,EURO 4,2,0,
HYUNDAI MEX  32326-A-11,EURO 4,3,0,
HYUNDAI MEX  32326-A-11,EURO 4,4,0,
HYUNDAI MEX  32326-A-11,EURO 4,5,0,
HYUNDAI MEX  32326-A-11,EURO 4,6,0,
HYUNDAI MEX  32326-A-11,EURO 4,7,0,
HYUNDAI MEX  32326-A-11,EURO 4,8,0,
HYUNDAI MEX  32326-A-11,EURO 4,9,0,
HYUNDAI MEX  32326-A-11,EURO 4,10,0,
HYUNDAI MEX  32326-A-11,EURO 4,11,0,
HYUNDAI MEX  32326-A-11,EURO 4,12,0,
HYUNDAI MEX  36493-A-11,EURO 4,1,4726,1148.418
HYUNDAI MEX  36493-A-11,EURO 4,2,0,
HYUNDAI MEX  36493-A-11,EURO 4,3,0,
HYUNDAI MEX  36493-A-11,EURO 4,4,0,
HYUNDAI MEX  36493-A-11,EURO 4,5,0,
HYUNDAI MEX  36493-A-11,EURO 4,6,0,
HYUNDAI MEX  36493-A-11,EURO 4,7,0,
HYUNDAI MEX  36493-A-11,EURO 4,8,0,
HYUNDAI MEX  36493-A-11,EURO 4,9,0,
HYUNDAI MEX  36493-A-11,EURO 4,10,0,
HYUNDAI MEX  36493-A-11,EURO 4,11,0,
HYUNDAI MEX  36493-A-11,EURO 4,12,0,
HYUNDAI MEX 37286-A-11,EURO 4,1,6551,1591.893
HYUNDAI MEX 37286-A-11,EURO 4,2,0,
HYUNDAI MEX 37286-A-11,EURO 4,3,0,
HYUNDAI MEX 37286-A-11,EURO 4,4,0,
HYUNDAI MEX 37286-A-11,EURO 4,5,0,
HYUNDAI MEX 37286-A-11,EURO 4,6,0,
HYUNDAI MEX 37286-A-11,EURO 4,7,0,
HYUNDAI MEX 37286-A-11,EURO 4,8,0,
HYUNDAI MEX 37286-A-11,EURO 4,9,0,
HYUNDAI MEX 37286-A-11,EURO 4,10,0,
HYUNDAI MEX 37286-A-11,EURO 4,11,0,
HYUNDAI MEX 37286-A-11,EURO 4,12,0,
HYUNDAI MEX  37936-A-11,EURO 4,1,7021,1706.103
HYUNDAI MEX  37936-A-11,EURO 4,2,0,
HYUNDAI MEX  37936-A-11,EURO 4,3,0,
HYUNDAI MEX  37936-A-11,EURO 4,4,0,
HYUNDAI MEX  37936-A-11,EURO 4,5,0,
HYUNDAI MEX  37936-A-11,EURO 4,6,0,
HYUNDAI MEX  37936-A-11,EURO 4,7,0,
HYUNDAI MEX  37936-A-11,EURO 4,8,0,
HYUNDAI MEX  37936-A-11,EURO 4,9,0,
HYUNDAI MEX  37936-A-11,EURO 4,10,0,
HYUNDAI MEX  37936-A-11,EURO 4,11,0,
HYUNDAI MEX  37936-A-11,EURO 4,12,0,
HYUNDAI MEX 38087-A-11,EURO 4,1,8230,1999.89
HYUNDAI MEX 38087-A-11,EURO 4,2,0,
HYUNDAI MEX 38087-A-11,EURO 4,3,0,
HYUNDAI MEX 38087-A-11,EURO 4,4,0,
HYUNDAI MEX 38087-A-11,EURO 4,5,0,
HYUNDAI MEX 38087-A-11,EURO 4,6,0,
HYUNDAI MEX 38087-A-11,EURO 4,7,0,
HYUNDAI MEX 38087-A-11,EURO 4,8,0,
HYUNDAI MEX 38087-A-11,EURO 4,9,0,
HYUNDAI MEX 38087-A-11,EURO 4,10,0,
HYUNDAI MEX 38087-A-11,EURO 4,11,0,
HYUNDAI MEX 38087-A-11,EURO 4,12,0,
HYUNDAI MEX  38451-A-11,EURO 4,1,5191,1261.413
HYUNDAI MEX  38451-A-11,EURO 4,2,0,
HYUNDAI MEX  38451-A-11,EURO 4,3,0,
HYUNDAI MEX  38451-A-11,EURO 4,4,0,
HYUNDAI MEX  38451-A-11,EURO 4,5,0,
HYUNDAI MEX  38451-A-11,EURO 4,6,0,
HYUNDAI MEX  38451-A-11,EURO 4,7,0,
HYUNDAI MEX  38451-A-11,EURO 4,8,0,
HYUNDAI MEX  38451-A-11,EURO 4,9,0,
HYUNDAI MEX  38451-A-11,EURO 4,10,0,
HYUNDAI MEX  38451-A-11,EURO 4,11,0,
HYUNDAI MEX  38451-A-11,EURO 4,12,0,
HYUNDAI MEX  38514-A-11,EURO 4,1,8352,2029.536
HYUNDAI MEX  38514-A-11,EURO 4,2,0,
HYUNDAI MEX  38514-A-11,EURO 4,3,0,
HYUNDAI MEX  38514-A-11,EURO 4,4,0,
